"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Dent";351.803846;2.046715783;13.05128177;70.14153933;952.36;14.97007535
"Dent";359.8787598;3.751156429;11.10523625;71.7041233;1013.97;16.02061983
"Flint";338.6287598;3.726156429;14.98023625;68.7041233;1054.5;18.68930612
"Dent";342.8787598;3.351156429;11.98023625;69.5041233;1015.83;17.92776766
"Flint";354.1287598;3.901156429;12.43023625;71.4541233;1115.94;19.13161381
"Flint";333.803846;4.921715783;11.07628177;70.96653933;975.21;16.02776766
"Dent";343.3787598;4.751156429;12.08023625;68.8791233;994.63;16.28545996
"Dent";356.8787598;3.526156429;9.705236248;72.5041233;1057.54;20.74868882
"Dent";328.553846;4.296715783;14.32628177;66.84153933;889.55;15.28545996
"Flint";313.553846;3.621715783;9.651281771;73.56653933;860.66;12.43930612
"Dent";357.053846;2.146715783;12.37628177;70.89153933;999.62;18.8239215
"Flint";326.053846;3.496715783;12.67628177;70.19153933;945.14;14.95870197
"Dent";353.553846;3.471715783;14.17628177;69.11653933;986.63;17.05469073
"Dent";344.8787598;3.751156429;14.73023625;68.1791233;1003.17;16.70853689
"Flint";309.803846;3.471715783;13.05128177;69.69153933;962.78;16.59315227
"Dent";357.3787598;4.101156429;12.10523625;69.5541233;938.15;17.54868882
"Flint";343.8787598;2.526156429;11.88023625;73.0791233;1070.54;17.76622919
"Dent";361.303846;3.271715783;11.22628177;72.71653933;993.6;16.93930612
"Dent";350.553846;3.196715783;12.32628177;69.06653933;915.25;16.36238304
"Dent";358.6287598;2.851156429;9.105236248;73.8541233;1041.12;20.8239215
"Dent";357.6287598;4.451156429;11.00523625;68.1041233;1105.19;19.71622919
"Flint";365.553846;3.346715783;12.55128177;70.11653933;952.29;15.46622919
"Dent";375.3787598;2.851156429;10.58023625;73.0041233;1090.64;19.47776766
"Dent";339.6287598;3.176156429;11.80523625;68.9291233;1092.63;20.36238304
"Flint";316.053846;3.771715783;13.12628177;67.79153933;945.19;15.06868882
"Flint";329.303846;3.521715783;13.30128177;67.56653933;913.3;14.86868882
"Flint";328.053846;2.921715783;14.57628177;66.04153933;908.48;15.59315227
"Dent";328.2456257;2.544187835;14.28038946;69.45810575;1023.35;15.98900352
"Dent";344.053846;3.396715783;13.65128177;69.11653933;1005.56;18.78545996
"Dent";356.5037598;3.388656429;10.99273625;70.9166233;1035.57;16.09096431
"Flint";335.6287598;4.426156429;13.70523625;66.6041233;989.7;18.52776766
"Dent";351.6287598;2.851156429;13.88023625;67.0541233;999.8;19.40084458
"Flint";267.553846;3.821715783;13.40128177;65.26653933;916.82;13.28545996
"Flint";333.553846;3.521715783;12.87628177;70.31653933;936.49;17.01622919
"Flint";343.803846;3.646715783;13.27628177;72.66653933;914.53;14.3545353
"Tropical";335.3215384;4.028686313;14.17051271;70.01661573;917.5;14.73365247
"Flint";332.803846;3.971715783;14.87628177;67.06653933;921.63;15.11238304
"Dent";342.1287598;3.451156429;11.40523625;71.6791233;1040.84;17.93930612
"Dent";332.303846;4.046715783;9.901281771;72.69153933;940.42;16.47776766
"Dent";330.053846;2.946715783;11.47628177;72.29153933;1013.52;17.38053441
"Flint";312.1287598;3.776156429;15.00523625;67.0791233;945.56;15.32648527
"Flint";322.3470407;3.563808479;14.63507861;60.06963223;972.37;16.04699842
"Flint";305.803846;3.646715783;12.87628177;68.71653933;924.34;13.63861613
"Flint";306.303846;2.821715783;12.35128177;68.39153933;856.68;14.28545996
"Flint";321.6155137;5.062597746;13.85787995;69.57782146;895.3;13.62868882
"Flint";303.6553769;3.818848821;13.1527942;66.34716954;975.6;14.86238304
"Flint";319.303846;4.271715783;14.12628177;67.44153933;985.42;15.77409168
"Flint";290.2406647;3.496024406;12.55530191;69.89606955;869.61;14.28545996
"Flint";279.803846;4.746715783;14.97628177;63.39153933;1004.5;15.67007535
"Flint";310.8787598;2.751156429;14.55523625;69.3791233;967.66;16.13161381
"Flint";304.3446231;3.481151179;12.71387247;69.81949713;1092.37;17.14868882
"Flint";326.053846;3.521715783;12.52628177;69.44153933;821.19;12.65853689
"Flint";270.366422;3.563519581;14.55251977;65.03844783;922.12;14.99699842
"Flint";332.303846;3.646715783;14.62628177;70.31653933;904.46;15.35084458
"Flint";337.4906647;3.896024406;12.58030191;70.14606955;888.57;14.63861613
"Flint";346.303846;2.946715783;14.72628177;66.99153933;834.05;13.47776766
"Dent";311.303846;3.471715783;12.07628177;69.76653933;942.06;15.8239215
"Flint";331.553846;2.946715783;11.50128177;70.71653933;856.91;14.01061613
"Flint";315.48117;3.661172179;13.07932759;68.05800183;1323.33;19.72171682
"Dent";368.0330887;2.130186248;11.4858531;74.8051145;926.08;15.50853689
"Flint";289.553846;4.146715783;12.20128177;69.84153933;832.57;13.72766674
"Dent";343.1287598;3.351156429;17.28023625;65.3291233;978.4;16.74699842
"Dent";315.9906647;4.696024406;16.55530191;63.54606955;873.19;13.47776766
"Dent";337.7406647;3.721024406;13.93030191;67.77106955;898.32;16.05469073
"Flint";332.553846;2.846715783;12.62628177;70.86653933;808.23;12.29315227
"Dent";334.803846;3.546715783;13.82628177;69.34153933;885.76;14.3239215
"Dent";348.303846;2.271715783;12.42628177;72.59153933;924.22;16.17007535
"Flint";313.053846;3.846715783;11.67628177;71.14153933;865.94;12.94868882
"Dent";337.553846;4.271715783;14.87628177;65.89153933;913.5;16.60469073
"Dent";361.553846;3.121715783;12.42628177;70.29153933;928.06;15.36238304
"Dent";346.053846;3.371715783;14.95128177;69.19153933;894.07;15.18868882
"Dent";343.053846;3.471715783;13.85128177;69.04153933;942.92;16.66868882
"Flint";349.053846;3.096715783;11.10128177;74.29153933;865.52;13.49861613
"Dent";337.803846;2.746715783;12.87628177;70.71653933;918.55;15.74699842
"Tropical";376.6287598;3.101156429;11.75523625;71.9791233;1072.35;19.86238304
"Tropical";309.553846;4.221715783;13.30128177;67.74153933;1089.59;21.19315227
"Tropical";324.4014468;4.901563042;14.61392708;64.16341569;1000.58;16.11993812
"Flint";331.053846;3.421715783;13.77628177;69.04153933;940.2;15.51322212
